,player,total_workers,total_army,fraction,winner,replay_filename
1340,MaDSci,27,350,T,0,replays/firstRun\7d4ce3f69d02405bbd268cea6cb28f9c.SC2Replay
1341,LiquidMaNa,21,1475,P,0,replays/firstRun\7d5cdfd18f44492ab23b487c497f5d8c.SC2Replay
1342,Bly,20,650,Z,1,replays/firstRun\7d5cdfd18f44492ab23b487c497f5d8c.SC2Replay
1343,Clem,71,4600,T,1,replays/firstRun\7d74cb5e66af441fb7498a425831e6c5.SC2Replay
1344,HuT,62,4750,T,0,replays/firstRun\7d74cb5e66af441fb7498a425831e6c5.SC2Replay
1345,Snute,18,650,Z,1,replays/firstRun\7d7f754a15c642288d7fed80283b02b1.SC2Replay
1346,Lambo,19,450,Z,0,replays/firstRun\7d7f754a15c642288d7fed80283b02b1.SC2Replay
1347,Lambo,82,11175,Z,0,replays/firstRun\7d82d0bcc4e14eccafc9684eaa194f36.SC2Replay
1348,Clem,76,8750,T,1,replays/firstRun\7d82d0bcc4e14eccafc9684eaa194f36.SC2Replay
1349,Crow,34,1775,Z,1,replays/firstRun\7d860b26b463419d987e1562f7c54481.SC2Replay
1350,NoRegreT,23,2075,Z,0,replays/firstRun\7d860b26b463419d987e1562f7c54481.SC2Replay
1351,Kelazhur,19,300,T,1,replays/firstRun\7d97a74a45aa43a5a880a4a6ac173eba.SC2Replay
1352,Light,21,200,T,0,replays/firstRun\7d97a74a45aa43a5a880a4a6ac173eba.SC2Replay
1353,CMStormPolt,51,2850,T,1,replays/firstRun\7da3e552a5ee4e3788b837428aa015a2.SC2Replay
1354,viOLet,51,4950,Z,0,replays/firstRun\7da3e552a5ee4e3788b837428aa015a2.SC2Replay
1355,SortOf,42,1200,Z,0,replays/firstRun\7da5495487894466a9483b8901a984ca.SC2Replay
1356,Elazer,41,2125,Z,1,replays/firstRun\7da5495487894466a9483b8901a984ca.SC2Replay
1357,SpaceJam,52,1975,T,0,replays/firstRun\7dbc3e54835c4eed90772a07fa62289e.SC2Replay
1358,Pure,55,2325,P,1,replays/firstRun\7dbc3e54835c4eed90772a07fa62289e.SC2Replay
1359,PiLiPiLi,24,1250,P,0,replays/firstRun\7dc68ad351cf4c7b918019c0f17a8bde.SC2Replay
1360,Neeb,26,1200,P,1,replays/firstRun\7dc68ad351cf4c7b918019c0f17a8bde.SC2Replay
1361,Kelazhur,28,1700,T,0,replays/firstRun\7dd42a4f2eea4d76a47b29f21a1cba4e.SC2Replay
1362,Light,46,1775,T,1,replays/firstRun\7dd42a4f2eea4d76a47b29f21a1cba4e.SC2Replay
1363,Stats,64,2600,P,1,replays/firstRun\7dd869ebae82455d8487edfc8e6b9bb6.SC2Replay
1364,TYTY,61,8375,T,0,replays/firstRun\7dd869ebae82455d8487edfc8e6b9bb6.SC2Replay
1365,DnS,45,800,P,1,replays/firstRun\7de0cd78b8d24cf18c8eccef752c9860.SC2Replay
1366,Zanster,49,1450,Z,0,replays/firstRun\7de0cd78b8d24cf18c8eccef752c9860.SC2Replay
1367,SortOf,14,1200,Z,0,replays/firstRun\7df39b06b04643eeac12da6c4aa0eec1.SC2Replay
1368,Snute,42,1750,Z,1,replays/firstRun\7df39b06b04643eeac12da6c4aa0eec1.SC2Replay
1369,DnS,72,2650,P,0,replays/firstRun\7e4f463a0cda43b49d03e918a47cc93e.SC2Replay
1370,LiquidSnute,79,6925,Z,1,replays/firstRun\7e4f463a0cda43b49d03e918a47cc93e.SC2Replay
1371,SpeCial,58,6200,T,1,replays/firstRun\7e5cf168990347159e643e6c99ff0236.SC2Replay
1372,Reynor,61,10450,Z,0,replays/firstRun\7e5cf168990347159e643e6c99ff0236.SC2Replay
1373,Jarppi,52,2800,T,0,replays/firstRun\7e701357bb664e8bad002b5a065eab2f.SC2Replay
1374,Erik,54,6325,Z,1,replays/firstRun\7e701357bb664e8bad002b5a065eab2f.SC2Replay
1375,LiquidSnute,77,10300,Z,1,replays/firstRun\7e733e1eea684cd99826554b80de78f9.SC2Replay
1376,BLY,69,10350,Z,0,replays/firstRun\7e733e1eea684cd99826554b80de78f9.SC2Replay
1377,Neeblet,73,5875,P,1,replays/firstRun\7e85382b15734483a9ebfcbed12f7ed3.SC2Replay
1378,SortOf,74,9400,Z,0,replays/firstRun\7e85382b15734483a9ebfcbed12f7ed3.SC2Replay
1379,Ziggy,38,1300,T,0,replays/firstRun\7e85c1254e094bc296346ccb82075f71.SC2Replay
1380,HuShang,42,650,P,1,replays/firstRun\7e85c1254e094bc296346ccb82075f71.SC2Replay
1381,JJAKJI,54,2725,T,0,replays/firstRun\7ecdbcae88f94e33889019dd207c1091.SC2Replay
1382,Solar,68,4525,Z,1,replays/firstRun\7ecdbcae88f94e33889019dd207c1091.SC2Replay
1383,soul,45,1000,T,0,replays/firstRun\7efb7316b27e436a8c8e3b43f5882478.SC2Replay
1384,soO,37,3350,Z,1,replays/firstRun\7efb7316b27e436a8c8e3b43f5882478.SC2Replay
1385,puCK,61,1575,P,1,replays/firstRun\7efc5537e39045efa5686bf768a98fe7.SC2Replay
1386,Crimson,47,3475,Z,0,replays/firstRun\7efc5537e39045efa5686bf768a98fe7.SC2Replay
1387,诡丶计,59,1975,Z,0,replays/firstRun\7f113a0eb3194b05a326d267aa5c4598.SC2Replay
1388,喵帕斯,47,1650,P,0,replays/firstRun\7f113a0eb3194b05a326d267aa5c4598.SC2Replay
1389,iGJim,0,0,U,1,replays/firstRun\7f113a0eb3194b05a326d267aa5c4598.SC2Replay
1390,iGRushcrazy,0,0,U,1,replays/firstRun\7f113a0eb3194b05a326d267aa5c4598.SC2Replay
1391,ByRada,21,2225,Z,0,replays/firstRun\7f24651c32db480582794280a8e056fb.SC2Replay
1392,Kelazhur,39,1050,T,1,replays/firstRun\7f24651c32db480582794280a8e056fb.SC2Replay
1393,SortOf,50,5200,Z,0,replays/firstRun\7f2e4ab0fb164d97ade88f312d1f53e8.SC2Replay
1394,llllllllllll,44,1800,P,1,replays/firstRun\7f2e4ab0fb164d97ade88f312d1f53e8.SC2Replay
1395,DnS,45,1250,P,0,replays/firstRun\7f31ab542a5740c2a648982d499ffd38.SC2Replay
1396,ShoWTimE,47,1625,P,1,replays/firstRun\7f31ab542a5740c2a648982d499ffd38.SC2Replay
1397,ShoWTimE,67,1300,P,1,replays/firstRun\7f338a6541694552bbde7a1d4ffa0f8c.SC2Replay
1398,Namshar,67,3350,Z,0,replays/firstRun\7f338a6541694552bbde7a1d4ffa0f8c.SC2Replay
1399,NoPinSea,65,4075,P,0,replays/firstRun\7f398bb395934c16826bcacee17b8d14.SC2Replay
1400,Petraeus,82,5050,Z,1,replays/firstRun\7f398bb395934c16826bcacee17b8d14.SC2Replay
1401,llllllllllll,35,350,P,1,replays/firstRun\7f49b0896b9f414aa701a26aa9f22826.SC2Replay
1402,liquidthermy,27,400,T,0,replays/firstRun\7f49b0896b9f414aa701a26aa9f22826.SC2Replay
1403,aLive,48,2850,T,1,replays/firstRun\7f4cdcdf35024b0497316b27564f1b2a.SC2Replay
1404,Neeb,52,1025,P,0,replays/firstRun\7f4cdcdf35024b0497316b27564f1b2a.SC2Replay
1405,Patience,36,375,P,1,replays/firstRun\7f5166b55c794cc2b90363d3f8c0549a.SC2Replay
1406,aAaMiNiMaTh,33,1075,Z,0,replays/firstRun\7f5166b55c794cc2b90363d3f8c0549a.SC2Replay
1407,KoMA,48,1750,T,0,replays/firstRun\7f5af5d135f14d7eb41e4efbcd06bcd9.SC2Replay
1408,CMStormPolt,46,2200,T,1,replays/firstRun\7f5af5d135f14d7eb41e4efbcd06bcd9.SC2Replay
1409,Serral,57,3200,Z,1,replays/firstRun\7f60acde9e00498cbe9c3ac93ab6628f.SC2Replay
1410,Zest,46,1225,P,0,replays/firstRun\7f60acde9e00498cbe9c3ac93ab6628f.SC2Replay
1411,GogojOey,37,1200,Z,1,replays/firstRun\7f676fca70a948eb9db4477c17d6fd17.SC2Replay
1412,yohilo,26,625,T,0,replays/firstRun\7f676fca70a948eb9db4477c17d6fd17.SC2Replay
1413,InZaNe,31,1250,T,1,replays/firstRun\7f6be81170c94083b01815d813990b2e.SC2Replay
1414,Clem,37,1100,T,0,replays/firstRun\7f6be81170c94083b01815d813990b2e.SC2Replay
1415,Zanster,74,8950,Z,1,replays/firstRun\7f90426d51594f2ab83c44e83d4c13f2.SC2Replay
1416,cloudy,69,4350,P,0,replays/firstRun\7f90426d51594f2ab83c44e83d4c13f2.SC2Replay
1417,iGXiGua,69,5525,Z,0,replays/firstRun\7f96c5614fc54725bc38b750215b4984.SC2Replay
1418,iGRushcrazy,72,2325,P,1,replays/firstRun\7f96c5614fc54725bc38b750215b4984.SC2Replay
1419,Ziggy,60,3075,T,0,replays/firstRun\7f96c7c9781849e4a1c796b548bc9a19.SC2Replay
1420,Elazer,64,5050,Z,1,replays/firstRun\7f96c7c9781849e4a1c796b548bc9a19.SC2Replay
1421,Snute,20,1150,Z,0,replays/firstRun\7f9ff54f836a45bd9b96ae97a6e396d5.SC2Replay
1422,Harstem,22,0,P,1,replays/firstRun\7f9ff54f836a45bd9b96ae97a6e396d5.SC2Replay
1423,Scarlett,59,4500,Z,0,replays/firstRun\7fa6466115f341569e55da0f36a2c395.SC2Replay
1424,aLive,48,3600,T,1,replays/firstRun\7fa6466115f341569e55da0f36a2c395.SC2Replay
1425,liquidthermy,15,125,T,0,replays/firstRun\7fd5cd7f5c4545a381e5b2a71205647d.SC2Replay
1426,Neeblet,23,100,P,1,replays/firstRun\7fd5cd7f5c4545a381e5b2a71205647d.SC2Replay
1427,Harstem,74,3025,P,0,replays/firstRun\8a27976428d24eb9a1e02a10cb36dca6.SC2Replay
1428,Namshar,86,5500,Z,1,replays/firstRun\8a27976428d24eb9a1e02a10cb36dca6.SC2Replay
1429,aLive,69,3525,T,1,replays/firstRun\8a36b06598c24488bc3c5d0f499919a0.SC2Replay
1430,TYTY,66,2800,T,0,replays/firstRun\8a36b06598c24488bc3c5d0f499919a0.SC2Replay
1431,puCK,55,1600,P,0,replays/firstRun\8a43046e568346be83b11bcbeb80b1b5.SC2Replay
1432,uThermal,55,5525,T,1,replays/firstRun\8a43046e568346be83b11bcbeb80b1b5.SC2Replay
1433,Petraeus,38,3250,Z,1,replays/firstRun\8a4bdb1a9c3d49a5b7766f676d71d753.SC2Replay
1434,PiG,37,2900,Z,0,replays/firstRun\8a4bdb1a9c3d49a5b7766f676d71d753.SC2Replay
1435,Optimus,65,7700,T,0,replays/firstRun\8a4fdb9990b04194b52b741f53393804.SC2Replay
