,player,total_workers,resource_mining,total_army_value,total_army,supply,time,fraction,winner,replay_filename
7938,TLO,61,15061,5750,61.0,146.0,680,Zerg,0,replays/all\9fdd0d41aca0460d86290c4c4f99c72d.SC2Replay
7939,Elazer,60,18401,7200,86.0,154.0,664,Zerg,1,replays/all\9fdd0d41aca0460d86290c4c4f99c72d.SC2Replay
7940,ZipperTheFly,58,23199,3250,50.0,109.0,835,Terraner,0,replays/all\a000c4d9e5a24602882375f4771cf9ae.SC2Replay
7941,ShaDoWn,63,36271,1975,22.0,133.0,810,Protoss,1,replays/all\a000c4d9e5a24602882375f4771cf9ae.SC2Replay
7942,ByuN,66,18844,3875,62.0,149.0,717,Terraner,0,replays/all\a01ef50451d2455e87daff344bd93559.SC2Replay
7943,DPGDark,66,36626,5100,55.0,134.0,752,Zerg,1,replays/all\a01ef50451d2455e87daff344bd93559.SC2Replay
7944,SpaceJam,43,20227,2025,29.0,70.0,574,Terraner,0,replays/all\a029d40c47bd43acbbd04dff11ddc022.SC2Replay
7945,Pure,44,27544,300,3.0,86.0,648,Protoss,1,replays/all\a029d40c47bd43acbbd04dff11ddc022.SC2Replay
7946,TIME,86,41634,5600,74.0,180.0,878,Terraner,1,replays/all\a02e450d18854263bd5b8d04cd431f45.SC2Replay
7947,MacSed,76,31463,2600,30.0,149.0,868,Protoss,0,replays/all\a02e450d18854263bd5b8d04cd431f45.SC2Replay
7948,Vanya,34,8183,1600,20.0,58.0,359,Zerg,1,replays/all\a0322eebe5454c139fec408ebb3d90a4.SC2Replay
7949,Lambo,29,5607,1475,15.5,66.0,339,Zerg,0,replays/all\a0322eebe5454c139fec408ebb3d90a4.SC2Replay
7950,PiLiPiLi,23,11461,750,8.0,55.0,382,Protoss,0,replays/all\a037fdb273224fad862c5e2a4d511ce3.SC2Replay
7951,PtitDrogo,35,10288,625,7.0,70.0,424,Protoss,1,replays/all\a037fdb273224fad862c5e2a4d511ce3.SC2Replay
7952,BackupA,56,54413,3925,43.0,189.0,1081,Protoss,1,replays/all\a0398c1c84594333ae2d3ba976c45c26.SC2Replay
7953,Raze,67,65144,7425,113.0,200.0,1088,Terraner,0,replays/all\a0398c1c84594333ae2d3ba976c45c26.SC2Replay
7954,soul,39,7704,1400,21.0,70.0,435,Terraner,1,replays/all\a03dd9e4562845d4a8e986bfd929fd35.SC2Replay
7955,EnderSword,23,16297,1375,17.0,63.0,434,Protoss,0,replays/all\a03dd9e4562845d4a8e986bfd929fd35.SC2Replay
7956,Probe,50,11204,275,3.0,85.0,470,Protoss,1,replays/all\a0566611fd0946d19de0b9ad27b6de26.SC2Replay
7957,PSiArc,43,10188,1750,24.0,70.0,469,Terraner,0,replays/all\a0566611fd0946d19de0b9ad27b6de26.SC2Replay
7958,Snute,46,9868,1500,12.0,76.0,541,Zerg,0,replays/all\a056a370532d40579d34d0b8c2b8b922.SC2Replay
7959,Elazer,45,15337,2425,25.5,76.0,543,Zerg,1,replays/all\a056a370532d40579d34d0b8c2b8b922.SC2Replay
7960,JadedShard,29,9633,1350,8.0,68.0,326,Zerg,0,replays/all\a057f2b2ccf94a8a9e7ba7545c81c769.SC2Replay
7961,Dolan,29,6685,550,10.0,46.0,303,Terraner,1,replays/all\a057f2b2ccf94a8a9e7ba7545c81c769.SC2Replay
7962,Harstem,61,47300,2225,24.0,181.0,965,Protoss,1,replays/all\a063803311054b95b78887ff628c9dc8.SC2Replay
7963,ShaDoWn,53,33574,1500,17.0,157.0,858,Protoss,0,replays/all\a063803311054b95b78887ff628c9dc8.SC2Replay
7964,Namshar,56,19417,3500,26.0,114.0,647,Zerg,1,replays/all\a0712656d2ac41fb87d724e78cb04771.SC2Replay
7965,ViBE,51,18052,1600,10.0,76.0,648,Zerg,0,replays/all\a0712656d2ac41fb87d724e78cb04771.SC2Replay
7966,Serral,45,9683,2425,25.5,76.0,459,Zerg,1,replays/all\a073dcdd03434a6995bff3b2200379f1.SC2Replay
7967,PtitDrogo,42,10711,650,10.0,62.0,459,Protoss,0,replays/all\a073dcdd03434a6995bff3b2200379f1.SC2Replay
7968,DnS,24,7269,1375,16.0,55.0,341,Protoss,0,replays/all\a07fe013a5534cfda121940e74d1b044.SC2Replay
7969,llllllllllll,24,6836,1475,16.0,47.0,332,Protoss,1,replays/all\a07fe013a5534cfda121940e74d1b044.SC2Replay
7970,liquidthermy,41,11071,1175,21.0,70.0,421,Terraner,1,replays/all\a09180ee3e264e3d8ab4ca557af3c3b3.SC2Replay
7971,Geralt,41,10245,1375,12.0,70.0,424,Protoss,0,replays/all\a09180ee3e264e3d8ab4ca557af3c3b3.SC2Replay
7972,Patience,67,22575,2400,27.0,125.0,635,Protoss,1,replays/all\a0933cfffac649579b2d34c7bf1e9111.SC2Replay
7973,Zanster,67,19502,8750,101.0,192.0,679,Zerg,0,replays/all\a0933cfffac649579b2d34c7bf1e9111.SC2Replay
7974,liquidthermy,71,33260,4100,56.0,164.0,880,Terraner,0,replays/all\a09bed6a30964963a72222bb1020982d.SC2Replay
7975,Serral,79,32908,8625,90.5,170.0,856,Zerg,1,replays/all\a09bed6a30964963a72222bb1020982d.SC2Replay
7976,DPGDark,63,41246,7750,82.0,170.0,906,Zerg,0,replays/all\a0bd849e468f480591ed9a98493f9f74.SC2Replay
7977,DPGRogue,88,104218,14350,113.0,200.0,1143,Zerg,1,replays/all\a0bd849e468f480591ed9a98493f9f74.SC2Replay
