,player,total_workers,resource_mining,total_army_value,total_army,time,fraction,winner,replay_filename
423,iGMacSed,47,5934,1200,12,462,Z,1,replays/2ndRun\6f7cc4e86db44421a3bc6bcd0494e649.SC2Replay
424,iGXiGua,31,12016,425,3,454,P,1,replays/2ndRun\6f7cc4e86db44421a3bc6bcd0494e649.SC2Replay
425,iGRushcrazy,0,0,0,0,0,U,0,replays/2ndRun\6f7cc4e86db44421a3bc6bcd0494e649.SC2Replay
426,iGJim,0,0,0,0,0,U,0,replays/2ndRun\6f7cc4e86db44421a3bc6bcd0494e649.SC2Replay
427,Optimus,26,3755,900,9,304,T,0,replays/2ndRun\6f8af442466941f2a38396a25264f672.SC2Replay
428,Namshar,25,5328,1250,23,307,Z,1,replays/2ndRun\6f8af442466941f2a38396a25264f672.SC2Replay
429,CalebAracous,78,40274,5950,55,753,Z,0,replays/2ndRun\6f9210df08014891b606d1cc38c3485f.SC2Replay
430,DisK,67,25479,4325,15,755,P,1,replays/2ndRun\6f9210df08014891b606d1cc38c3485f.SC2Replay
431,Ghost,30,7732,1300,14,370,T,0,replays/2ndRun\6fa8e1aa62ec4f209aab68b6f4cb7264.SC2Replay
432,Pokebunny,38,9310,1375,15,403,T,1,replays/2ndRun\6fa8e1aa62ec4f209aab68b6f4cb7264.SC2Replay
433,uThermal,24,3867,200,3,244,T,1,replays/2ndRun\6fc00d92ded24510887c46c68ed44ab8.SC2Replay
434,TestingThree,14,4333,1400,9,238,Z,0,replays/2ndRun\6fc00d92ded24510887c46c68ed44ab8.SC2Replay
435,TYTY,50,12223,2275,17,537,T,1,replays/2ndRun\6fc5ec929a5e49bfad48cdd4512bf8cf.SC2Replay
436,ShoWTimE,48,18189,950,4,533,P,0,replays/2ndRun\6fc5ec929a5e49bfad48cdd4512bf8cf.SC2Replay
437,HeroMarine,44,15843,4250,50,598,T,1,replays/2ndRun\6ff07555dc914a3baaf1f7aaff3448cc.SC2Replay
438,GOStephano,66,13246,5450,44,578,Z,0,replays/2ndRun\6ff07555dc914a3baaf1f7aaff3448cc.SC2Replay
439,PiLiPiLi,28,9448,1425,6,436,P,0,replays/2ndRun\7a0bf3811a434b3aa4a4d8bebb4f07f7.SC2Replay
440,Zest,40,11159,175,1,435,P,1,replays/2ndRun\7a0bf3811a434b3aa4a4d8bebb4f07f7.SC2Replay
441,DnS,45,21187,925,4,512,P,1,replays/2ndRun\7a4c3d5503bd4378a3220be892fdb882.SC2Replay
