,player,total_workers,total_army_value,total_army,fraction,winner,replay_filename
383,Livibee,26,850,13,Z,0,replays/1stRun\2b72aab40fa34f2caf25b635de6d18df.SC2Replay
384,DnS,45,1800,7,P,1,replays/1stRun\2b8988e32e0346048fb6e69a744af7c6.SC2Replay
385,Probe,45,975,6,P,0,replays/1stRun\2b8988e32e0346048fb6e69a744af7c6.SC2Replay
386,ByuN,27,600,11,T,0,replays/1stRun\2ba02042d4ab48098294e986c3365252.SC2Replay
387,sOs,23,1050,6,P,1,replays/1stRun\2ba02042d4ab48098294e986c3365252.SC2Replay
388,Rex,57,5375,69,Z,0,replays/1stRun\2ba0efdff3d84f2a94f7f1f7b62a7ef6.SC2Replay
389,Expect,60,3500,40,T,1,replays/1stRun\2ba0efdff3d84f2a94f7f1f7b62a7ef6.SC2Replay
390,harstem,71,2850,11,P,0,replays/1stRun\2ba370c574ca4e59a28a94410e36f27a.SC2Replay
391,Denver,68,5650,52,Z,1,replays/1stRun\2ba370c574ca4e59a28a94410e36f27a.SC2Replay
392,Nerchio,28,1000,13,Z,1,replays/1stRun\2bac2fbb28ba459eb569196992acd760.SC2Replay
393,Malcolm,23,1050,12,Z,0,replays/1stRun\2bac2fbb28ba459eb569196992acd760.SC2Replay
394,PandaBearMe,67,2925,45,Z,0,replays/1stRun\2bcb2964416f4e0daa84b6c4467180c1.SC2Replay
395,SpeCial,58,3000,20,T,1,replays/1stRun\2bcb2964416f4e0daa84b6c4467180c1.SC2Replay
396,Sen,43,1150,13,Z,0,replays/1stRun\2bd1d46d43fa4239b73d92f0adcc65e9.SC2Replay
397,FWHas,44,1175,6,P,1,replays/1stRun\2bd1d46d43fa4239b73d92f0adcc65e9.SC2Replay
398,Elazer,75,2725,43,Z,0,replays/1stRun\2bd8afbb5937446dadafcb078d0832f8.SC2Replay
399,Stats,67,1850,9,P,1,replays/1stRun\2bd8afbb5937446dadafcb078d0832f8.SC2Replay
400,ShoWTimE,67,1700,7,P,0,replays/1stRun\2bdb4ddcbd47473aabf5c608226303cb.SC2Replay
401,Lambo,69,7475,59,Z,1,replays/1stRun\2bdb4ddcbd47473aabf5c608226303cb.SC2Replay
402,NWDragon,22,250,4,T,0,replays/1stRun\2bde4e669be14f7e8a54b1e38d9655b1.SC2Replay
403,Elroye,20,775,12,Z,1,replays/1stRun\2bde4e669be14f7e8a54b1e38d9655b1.SC2Replay
404,Zanster,77,12000,197,Z,1,replays/1stRun\2be864a922744b1da4527db41138ff8f.SC2Replay
405,Optimus,64,6775,79,T,0,replays/1stRun\2be864a922744b1da4527db41138ff8f.SC2Replay
406,TRUE,41,1125,15,Z,0,replays/1stRun\2c17c3e2137f413dabf93e1fa6a7087a.SC2Replay
407,Nerchio,43,1500,15,Z,1,replays/1stRun\2c17c3e2137f413dabf93e1fa6a7087a.SC2Replay
408,MaNa,50,1575,9,P,1,replays/1stRun\2c296855354c479e91e85ac83ff86107.SC2Replay
409,GuMiho,52,4025,39,T,0,replays/1stRun\2c296855354c479e91e85ac83ff86107.SC2Replay
410,PandaBearMe,74,11175,198,Z,0,replays/1stRun\2c2d4670dfb34750920df92ab440243f.SC2Replay
411,SpeCial,70,7675,93,T,1,replays/1stRun\2c2d4670dfb34750920df92ab440243f.SC2Replay
412,Nice,81,10200,29,P,0,replays/1stRun\2c2d58e059e941fcb3328f1dfd8bff3a.SC2Replay
413,Jig,76,12050,76,Z,1,replays/1stRun\2c2d58e059e941fcb3328f1dfd8bff3a.SC2Replay
414,SortOf,74,4250,64,Z,1,replays/1stRun\2c471cab402c4cb1840db077df24ad61.SC2Replay
415,AdminB,53,2100,27,T,0,replays/1stRun\2c471cab402c4cb1840db077df24ad61.SC2Replay
416,ShoWTimE,47,1250,6,P,0,replays/1stRun\2c66cfcd88de4ab8aebdd7fb8bd4803c.SC2Replay
417,Harstem,47,1925,8,P,1,replays/1stRun\2c66cfcd88de4ab8aebdd7fb8bd4803c.SC2Replay
418,Denver,46,1500,17,Z,1,replays/1stRun\2c6f50c26e954186a518bfaedd37fefb.SC2Replay
419,Hjax,46,975,4,P,0,replays/1stRun\2c6f50c26e954186a518bfaedd37fefb.SC2Replay
420,eGGz,30,625,6,Z,0,replays/1stRun\2c7d0c6b665543579b52468715bd6e11.SC2Replay
421,GogojOey,31,1050,15,Z,1,replays/1stRun\2c7d0c6b665543579b52468715bd6e11.SC2Replay
422,MaNa,77,5200,13,P,1,replays/1stRun\2c82011ef99347bba01bcf7f88ff83ad.SC2Replay
423,Semper,66,7000,57,T,0,replays/1stRun\2c82011ef99347bba01bcf7f88ff83ad.SC2Replay
424,Nice,27,750,6,P,0,replays/1stRun\2c907a631627402691fbcb83e8f91ed2.SC2Replay
425,ShaDoWn,26,1275,7,P,1,replays/1stRun\2c907a631627402691fbcb83e8f91ed2.SC2Replay
426,Serral,70,6675,61,Z,1,replays/1stRun\2cadcfb5873042148f27279395d25520.SC2Replay
427,SouLeer,64,6300,57,Z,0,replays/1stRun\2cadcfb5873042148f27279395d25520.SC2Replay
428,LiquidTLO,13,1050,28,Z,1,replays/1stRun\2cbff93efb7d4cb89ccb56b5f38efd16.SC2Replay
429,Lambo,20,825,14,Z,0,replays/1stRun\2cbff93efb7d4cb89ccb56b5f38efd16.SC2Replay
430,Pokebunny,57,3250,29,T,1,replays/1stRun\2cc6985119ba4468b181fe7fe501febb.SC2Replay
431,UpATree,37,2400,28,T,0,replays/1stRun\2cc6985119ba4468b181fe7fe501febb.SC2Replay
432,SpeCial,66,3650,41,T,1,replays/1stRun\2cf39854a86046478390977efe5f7d8f.SC2Replay
433,iAsonu,68,5325,84,Z,0,replays/1stRun\2cf39854a86046478390977efe5f7d8f.SC2Replay
434,niceUsername,22,250,5,T,0,replays/1stRun\2d0770c9aa80457fb2c8af2751e5e59d.SC2Replay
435,Caliber,23,375,2,P,1,replays/1stRun\2d0770c9aa80457fb2c8af2751e5e59d.SC2Replay
436,Neeblet,27,125,1,P,0,replays/1stRun\2d092d0b9e0e483d958dbbe5bd8ad49a.SC2Replay
437,Guru,20,750,14,Z,1,replays/1stRun\2d092d0b9e0e483d958dbbe5bd8ad49a.SC2Replay
438,Harstem,69,1950,5,P,1,replays/1stRun\2d0ec03490ec424e931459ce71b81f32.SC2Replay
